Model,pass@1_base,pass@1_plus,prompted,link
GPT-4-Turbo (Nov 2023),83.5,70.7,TRUE,https://github.com/ise-uiuc/magicoder
GPT-3.5-Turbo (Nov 2023),82.5,69.7,TRUE,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
Gemini Pro,72.9,57.9,TRUE,https://deepmind.google/technologies/gemini/
WizardCoder-Python-34B-V1.0,73.2,59.9,TRUE,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
DeepSeek-Coder-33B-instruct,78.7,66.7,TRUE,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct
DeepSeek-Coder-6.7B-base,70.2,56.6,FALSE,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-base
DeepSeek-Coder-6.7B-instruct,73.2,63.4,TRUE,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct
DeepSeek-Coder-1.3B-base,55.6,46.9,FALSE,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base
DeepSeek-Coder-1.3B-instruct,63.9,53.1,TRUE,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct
Mistral-7B,50.1,40.9,FALSE,https://mistral.ai/news/announcing-mistral-7b/
Zephyr β-7B,41.1,34.3,FALSE,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
StarCoder-7B,33.1,28.8,FALSE,https://arxiv.org/abs/2305.06161
StarCoder-15B,55.1,46.1,FALSE,https://arxiv.org/abs/2305.06161
CodeLlama-7B,57.9,46.1,FALSE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-13B,61.2,50.9,FALSE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-34B,67.2,52.9,FALSE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-70B-Instruct,72.2,58.9,TRUE,https://huggingface.co/codellama/CodeLlama-70b-Instruct-hf
CodeLlama-70B,65.4,53.4,FALSE,https://huggingface.co/codellama/CodeLlama-70b-Python-hf
CodeT5+-2B,46.4,36.6,FALSE,https://blog.salesforceairesearch.com/codet5/
CodeT5+-6B,52.1,41.6,FALSE,https://blog.salesforceairesearch.com/codet5/
CodeT5+-16B,55.1,45.4,FALSE,https://blog.salesforceairesearch.com/codet5/
CodeGen-2B,44.9,35.1,FALSE,https://arxiv.org/abs/2203.13474
CodeGen-6B,50.4,42.6,FALSE,https://arxiv.org/abs/2203.13474
CodeGen-16B,53.1,44.1,FALSE,https://arxiv.org/abs/2203.13474
WizardCoder-Python-7B-V1.0,56.6,47.1,TRUE,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
WizardCoder-15B-V1.0,62.4,51.6,TRUE,https://huggingface.co/WizardLM/WizardCoder-15B-V1.0
Magicoder-S-CL-7B,68.4,56.6,TRUE,https://huggingface.co/ise-uiuc/Magicoder-S-CL-7B
Magicoder-S-DS-6.7B,75.4,64.4,TRUE,https://huggingface.co/ise-uiuc/Magicoder-S-DS-6.7B
dolphin-2.6-mixtral-8x7b,69.4,57.1,TRUE,https://huggingface.co/cognitivecomputations/dolphin-2.6-mixtral-8x7b
MistralHermes-CodePro-7B-v1,57.4,46.4,TRUE,https://huggingface.co/beowolx/MistralHermes-CodePro-7B-v1
phi-2-2.7B,62.7,52.9,FALSE,https://huggingface.co/microsoft/phi-2
SOLAR-10.7B-Instruct-v1.0,43.1,35.1,TRUE,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0
WizardCoder-33B-V1.1,78.9,66.9,TRUE,https://huggingface.co/WizardLM/WizardCoder-33B-V1.1
OpenChat-3.5-7B-0106,62.7,52.9,TRUE,https://huggingface.co/openchat/openchat-3.5-0106
speechless-codellama-34B-v2.0,72.4,59.1,TRUE,https://huggingface.co/uukuguy/speechless-codellama-34b-v2.0
speechless-code-mistral-7B-v1.0,55.6,45.4,TRUE,https://huggingface.co/uukuguy/speechless-code-mistral-7b-v1.0
code-millenials-34B,74.2,61.7,TRUE,https://huggingface.co/budecosystem/code-millenials-34b
xDAN-L1-Chat-RL-v1-7B,49.6,39.6,TRUE,https://huggingface.co/xDAN-AI/xDAN-L1-Chat-RL-v1
stable-code-3B,53.6,44.1,FALSE,https://huggingface.co/stabilityai/stable-code-3b
zyte-1B,9.8,7.5,TRUE,https://huggingface.co/aihub-app/zyte-1B
